,ACCOUNT_ID,TIMESTAMP,visited_week_index
17908,168,2022-05-05,7
17911,148,2022-05-05,7
17918,316,2022-05-05,7
17927,221,2022-05-05,7
17929,121,2022-05-05,7
17936,210,2022-05-05,7
17941,6,2022-05-05,7
17944,377,2022-05-05,7
17953,342,2022-05-05,7
17972,1120,2022-05-05,7
17979,812,2022-05-05,7
18009,213,2022-05-05,7
18019,170,2022-05-05,7
18025,56,2022-05-05,7
18038,51,2022-05-05,7
18047,101,2022-05-05,7
18055,246,2022-05-05,7
18056,285,2022-05-05,7
18068,382,2022-05-05,7
18069,57,2022-05-05,7
18088,225,2022-05-05,7
18105,167,2022-05-05,7
18112,242,2022-05-05,7
18115,2,2022-05-05,7
18123,174,2022-05-05,7
18140,1444,2022-05-05,7
18141,798,2022-05-06,7
18142,6,2022-05-06,7
18149,27,2022-05-06,7
18152,917,2022-05-06,7
18157,187,2022-05-06,7
18185,80,2022-05-06,7
18189,93,2022-05-06,7
18191,610,2022-05-06,7
18192,224,2022-05-06,7
18215,842,2022-05-06,7
18219,54,2022-05-06,7
18228,184,2022-05-06,7
18235,379,2022-05-06,7
18248,1065,2022-05-06,7
18258,954,2022-05-06,7
18260,38,2022-05-06,7
18277,951,2022-05-06,7
18278,425,2022-05-06,7
18289,34,2022-05-06,7
18292,2,2022-05-06,7
18307,360,2022-05-06,7
18330,89,2022-05-06,7
18356,1497,2022-05-06,7
18360,401,2022-05-06,7
18370,734,2022-05-06,7
18373,130,2022-05-06,7
18377,991,2022-05-06,7
18387,137,2022-05-06,7
18411,433,2022-05-06,7
18419,115,2022-05-06,7
18422,225,2022-05-06,7
18432,56,2022-05-06,7
18433,57,2022-05-06,7
18443,20,2022-05-06,7
18471,291,2022-05-06,7
18476,1526,2022-05-06,7
18484,287,2022-05-06,7
18485,213,2022-05-06,7
18516,68,2022-05-06,7
18556,47,2022-05-06,7
18558,264,2022-05-06,7
18581,804,2022-05-07,7
18591,27,2022-05-07,7
18597,1044,2022-05-07,7
18598,1473,2022-05-07,7
18601,519,2022-05-07,7
18603,411,2022-05-07,7
18609,155,2022-05-07,7
18610,569,2022-05-07,7
18615,529,2022-05-07,7
18618,96,2022-05-07,7
18629,1490,2022-05-07,7
18631,261,2022-05-07,7
18633,95,2022-05-08,7
18641,142,2022-05-08,7
18674,7,2022-05-08,7
18676,445,2022-05-08,7
18679,646,2022-05-08,7
18682,803,2022-05-08,7
18687,548,2022-05-08,7
18703,168,2022-05-08,7
18706,377,2022-05-08,7
18711,308,2022-05-08,7
18713,1019,2022-05-08,7
18715,1204,2022-05-08,7
18720,191,2022-05-08,7
18736,132,2022-05-08,7
18757,68,2022-05-08,7
18771,488,2022-05-09,7
18774,548,2022-05-09,7
18777,1321,2022-05-09,7
18783,11,2022-05-09,7
18804,4,2022-05-09,7
18839,19,2022-05-09,7
18845,250,2022-05-09,7
18851,82,2022-05-09,7
18879,779,2022-05-09,7
18881,512,2022-05-09,7
18898,12,2022-05-09,7
18907,46,2022-05-09,7
18914,137,2022-05-09,7
18927,83,2022-05-09,7
18928,42,2022-05-09,7
18932,163,2022-05-09,7
18947,397,2022-05-09,7
18949,127,2022-05-09,7
18960,64,2022-05-09,7
18963,818,2022-05-09,7
18973,2,2022-05-09,7
18986,134,2022-05-09,7
19002,187,2022-05-09,7
19004,20,2022-05-09,7
19009,168,2022-05-09,7
19016,68,2022-05-09,7
19034,56,2022-05-09,7
19039,1196,2022-05-09,7
19053,167,2022-05-09,7
19105,370,2022-05-09,7
19119,30,2022-05-09,7
19128,151,2022-05-09,7
19162,1136,2022-05-09,7
19194,1327,2022-05-10,8
19214,247,2022-05-10,8
19215,12,2022-05-10,8
19238,634,2022-05-10,8
19252,779,2022-05-10,8
19266,1302,2022-05-10,8
19272,1468,2022-05-10,8
19286,33,2022-05-10,8
19292,85,2022-05-10,8
19293,27,2022-05-10,8
19317,168,2022-05-10,8
19318,688,2022-05-10,8
19319,68,2022-05-10,8
19327,5,2022-05-10,8
19329,69,2022-05-10,8
19346,380,2022-05-10,8
19352,374,2022-05-10,8
19359,589,2022-05-10,8
19363,414,2022-05-10,8
19367,142,2022-05-10,8
19374,148,2022-05-10,8
19384,38,2022-05-10,8
19387,80,2022-05-10,8
19388,320,2022-05-10,8
19392,14,2022-05-10,8
19418,596,2022-05-10,8
19424,108,2022-05-10,8
19433,285,2022-05-10,8
19458,79,2022-05-10,8
19467,109,2022-05-10,8
19468,278,2022-05-10,8
19473,8,2022-05-10,8
19485,89,2022-05-10,8
19488,42,2022-05-10,8
19492,187,2022-05-10,8
19502,206,2022-05-10,8
19511,555,2022-05-10,8
19546,432,2022-05-10,8
19568,166,2022-05-10,8
19576,210,2022-05-10,8
19581,57,2022-05-10,8
19597,64,2022-05-10,8
19643,22,2022-05-10,8
19707,20,2022-05-10,8
19720,47,2022-05-10,8
19724,1126,2022-05-10,8
19727,304,2022-05-11,8
19731,12,2022-05-11,8
19741,451,2022-05-11,8
19752,572,2022-05-11,8
19761,422,2022-05-11,8
19791,1087,2022-05-11,8
19800,318,2022-05-11,8
19818,507,2022-05-11,8
19822,712,2022-05-11,8
19845,7,2022-05-11,8
19846,27,2022-05-11,8
19851,542,2022-05-11,8
19859,345,2022-05-11,8
19870,22,2022-05-11,8
19888,69,2022-05-11,8
19900,1314,2022-05-11,8
19911,779,2022-05-11,8
19914,119,2022-05-11,8
19927,42,2022-05-11,8
19937,1194,2022-05-11,8
19938,249,2022-05-11,8
19940,184,2022-05-11,8
19947,5,2022-05-11,8
19956,185,2022-05-11,8
19957,57,2022-05-11,8
19960,177,2022-05-11,8
19972,68,2022-05-11,8
20007,188,2022-05-11,8
20010,77,2022-05-11,8
20013,333,2022-05-11,8
20061,1040,2022-05-11,8
20062,362,2022-05-11,8
20081,458,2022-05-11,8
20090,108,2022-05-11,8
20103,244,2022-05-11,8
20109,30,2022-05-11,8
20120,636,2022-05-11,8
20143,1376,2022-05-11,8
20156,50,2022-05-11,8
20164,20,2022-05-11,8
20173,382,2022-05-11,8
20190,797,2022-05-11,8
20192,882,2022-05-11,8
20203,388,2022-05-12,8
20205,422,2022-05-12,8
20208,27,2022-05-12,8
20221,905,2022-05-12,8
20229,24,2022-05-12,8
20230,1153,2022-05-12,8
20232,1343,2022-05-12,8
20233,42,2022-05-12,8
20241,670,2022-05-12,8
20248,184,2022-05-12,8
20255,80,2022-05-12,8
20263,125,2022-05-12,8
20264,115,2022-05-12,8
20285,9,2022-05-12,8
20288,512,2022-05-12,8
20303,328,2022-05-12,8
20306,610,2022-05-12,8
20310,589,2022-05-12,8
20313,19,2022-05-12,8
20318,94,2022-05-12,8
20321,11,2022-05-12,8
20329,34,2022-05-12,8
20330,295,2022-05-12,8
20333,1082,2022-05-12,8
20361,198,2022-05-12,8
20375,1029,2022-05-12,8
20382,68,2022-05-12,8
20398,1199,2022-05-12,8
20399,110,2022-05-12,8
20403,4,2022-05-12,8
20407,413,2022-05-12,8
20418,148,2022-05-12,8
20420,6,2022-05-12,8
20425,425,2022-05-12,8
20429,1181,2022-05-12,8
20434,496,2022-05-12,8
20435,469,2022-05-12,8
20440,69,2022-05-12,8
20441,121,2022-05-12,8
20447,101,2022-05-12,8
20448,30,2022-05-12,8
20458,22,2022-05-12,8
20471,75,2022-05-12,8
20479,43,2022-05-12,8
20488,108,2022-05-12,8
20491,147,2022-05-12,8
20507,434,2022-05-12,8
20546,46,2022-05-12,8
20572,67,2022-05-12,8
20574,912,2022-05-12,8
20589,5,2022-05-12,8
20591,56,2022-05-12,8
20592,57,2022-05-12,8
20618,83,2022-05-12,8
20619,291,2022-05-12,8
20626,416,2022-05-12,8
20656,287,2022-05-12,8
20674,2,2022-05-12,8
20675,20,2022-05-12,8
20679,1425,2022-05-12,8
20690,81,2022-05-12,8
20706,295,2022-05-13,8
20714,108,2022-05-13,8
20720,388,2022-05-13,8
20727,51,2022-05-13,8
20728,111,2022-05-13,8
20729,80,2022-05-13,8
20739,496,2022-05-13,8
20741,183,2022-05-13,8
20743,438,2022-05-13,8
20746,772,2022-05-13,8
20747,5,2022-05-13,8
20760,518,2022-05-13,8
20764,121,2022-05-13,8
20768,68,2022-05-13,8
20770,410,2022-05-13,8
20776,693,2022-05-13,8
20777,943,2022-05-13,8
20782,397,2022-05-13,8
20783,89,2022-05-13,8
20788,1295,2022-05-13,8
